interior,ttr,servicios,materiales,monto,zona,bu
1,0.4,1,1,6.38,10,BUC
1,0.19,1,1,2.7600000000000002,4,BUC
1,0.31,1,1,2.7600000000000002,1,BUC
1,0.47,1,1,4.73,1,CORE
1,0.43,1,1,2.7600000000000002,4,BUC
1,0.43,1,1,2.7600000000000002,10,BUC
1,0.35,1,1,4.73,12,BUC
1,0.54,1,2,6.1899999999999995,7,BUC
1,0.25,1,1,2.8299999999999996,5,BUC
1,0.18,1,1,3.65,1,BUC
1,0.37,1,1,2.8299999999999996,8,BUC
1,0.53,1,1,2.8299999999999996,12,BUC
1,0.56,1,1,4.119999999999999,4,BUC
1,0.28,1,1,6.38,1,BUC
1,0.58,1,1,3.03,10,BUC
1,0.58,1,1,3.65,1,BUC
1,0.53,1,1,2.7600000000000002,7,BUC
1,0.53,1,2,4.145,1,BUC
1,0.5,1,5,3.75,18,BUC
1,0.37,1,1,2.8299999999999996,1,BUC
1,0.23,1,1,2.7600000000000002,9,BUC
1,0.25,1,1,2.8299999999999996,3,BUC
1,0.42,1,4,0.1,12,BUC
1,0.41,1,1,6.38,2,BUC
1,0.47,1,3,7.05,7,BUC
1,0.57,1,1,3.04,3,BUC
1,0.47,1,7,3.19,4,BUC
1,0.15,1,5,3.12,1,BUC
1,0.53,1,7,3.42,11,BUC
1,0.35,1,5,3.38,11,BUC
1,0.37,1,5,4.029999999999999,11,BUC
1,0.33,1,1,3.04,15,BUC
1,0.33,1,1,3.65,12,BUC
1,0.35,1,1,3.03,9,BUC
1,0.4,1,1,3.65,13,BUC
1,0.47,1,5,3.23,14,BUC
1,0.55,1,3,3.07,2,BUC
1,0.4,2,1,4.37,10,BUC
1,0.39,1,7,13.16,4,BUC
1,0.42,1,3,17.25,13,BUC
0,1.76,1,112,86.25,7,BUC
0,0.99,1,19,1.33,11,BUC
0,2.88,1,85,94.73400000000001,8,BUC
0,2.24,1,201,324.69,6,CORE
0,3.95,1,7,60.84,14,BUC
0,1.67,1,98,47.77,7,BUC
0,2.43,3,138,125.45400000000001,2,BUC
0,1.84,1,181,194.572,21,BUC
0,3.7,1,56,42.742000000000004,14,BUC
0,4.56,1,3,9.899999999999999,7,BUC
0,4.17,1,159,637.76,18,CORE
0,1.05,1,125,165.524,17,BUC
0,2.85,1,115,107.122,10,BUC
0,3.91,1,134,207.91000000000003,10,BUC
0,2.42,1,83,146.036,10,BUC
0,1.75,1,4,159.65,10,BUC
0,3.04,1,116,71.348,2,BUC
0,1.45,1,1,3.65,1,CORE
0,3.65,1,210,97.44000000000001,11,BUC
0,4.2,1,3,181.13,8,TIGO STAR
0,1.17,1,108,159.168,18,BUC
0,1.35,1,36,2.5200000000000005,1,BUC
0,1.02,1,2,54.69,3,CORE
0,1.47,1,44,3.08,12,BUC
0,4.91,2,2,5.8,21,CORE
0,3.56,1,6,111.84,9,BUC
0,3.23,1,55,27.052000000000003,9,BUC
0,2.49,1,137,177.22,8,BUC
0,3.66,1,2,6.859999999999999,7,TIGO STAR
0,1.4,1,40,10.8,10,BUC
0,1.2,1,1,8.77,16,BUC
0,2.23,1,4,109.38,5,BUC
0,2.94,1,166,187.612,9,BUC
0,4.18,1,314,260.88,4,BUC
0,2.14,1,129,170.44400000000002,8,BUC
0,2.26,1,96,156.334,2,BUC
0,2.51,1,120,58.74400000000001,4,BUC
0,1.48,1,2,6.879999999999999,10,BUC
0,2.91,1,139,84.632,16,TIGO STAR
0,0.95,1,111,104.684,7,BUC
0,4.27,1,235,162.80200000000002,3,BUC
0,4.14,1,281,168.92000000000002,3,BUC
0,1.95,1,1,6.38,1,CORE
0,2.72,1,83,92.274,3,BUC
0,3.22,1,227,105.89,3,BUC
0,5.01,1,13,286.99,4,TIGO STAR
0,2.2,1,120,163.204,8,BUC
0,2.87,2,3,10,11,BUC
0,2.18,1,48,6.59,12,BUC
0,2.7,1,104,49.788000000000004,11,BUC
0,1.3,1,2,54.69,12,BUC
0,2.97,1,150,148.86,15,BUC
